대장아이디,시군구,읍면동,리,지번,기타지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역유형,지정면적_제곱미터,대피장소,취약지역지정사유,지정일,"지정등급_A,B,C,D"
95,진주시,금곡면,성산리,산137임,,35,4,16.502,128,11,7.401,산사태,810,성산마을노인회관,"임연부와 인가가 인접하고 사면 내 침식, 표층유실 등과 같은 현상이 관찰됨",2019-06-24,
96,진주시,금산면,갈전리,산72임,,35,11,29.164,128,9,52.528,산사태,564,금산갈전보건진료소,"표층유실, 붕괴, 침식에 의한 토사유출이 관찰되고 있음",2019-06-24,
97,진주시,내동면,독산리,산11-2임,,35,9,37.284,128,4,18.797,산사태,729,내동면사무소,침식과 표층유실이 관찰되고 있어 취약지역으로 선정 및 관리가 필요함,2019-06-24,
98,진주시,대곡면,용암리,산68임,,35,19,12,128,9,25.999,산사태,420,덕촌회관,"지하수위가 높은 것으로 관찰되고, 사면 내 표층유실, 침식과 같은 현상이 발생되고 있음",2019-06-24,
99,진주시,유곡동,,산36임,,35,12,5.175,128,3,23.279,산사태,726,이현동주민센터,인가와 인접한 사면으로 일부 구간 표층유실이 진행되고 있어 잠재적 위험성을 가지고 있음,2019-06-24,
100,진주시,이반성면,길성리,165임,,35,9,10,128,20,17.999,산사태,364,발산경로당,"사면 내 표층유실, 토석의 유동이 관찰됨",2019-06-24,
101,진주시,이반성면,대천리,산36임,,35,8,49.172,128,18,30.735,산사태,794,이반성대동보건진료소,포행과 같은 침식이 발생되고 있어 하부 생활권 피해가 우려됨,2019-06-24,
102,진주시,이현동,,산33-6임,,35,12,7.697,128,2,50.805,산사태,637,이현동주민센터,붕괴 구간으로 토사유출이 발생되고 이어 하부 생활권에 피해가 우려됨,2019-06-24,
103,진주시,정촌면,대축리,산124-3임,,35,7,32,128,5,9,산사태,471,함촌마을회관,세굴이 진행되고 있고 인가와 인접하여 잠재적 위험성이 있다고 판단됨,2019-06-24,
104,진주시,진성면,대사리,산4-2임,,35,9,29,128,15,46.999,산사태,538,대사보건진료소,붕괴와 일부 구간으로 표층유실이 발생되고 있음,2019-06-24,
105,진주시,집현면,정수리,산210임,,35,17,6.955,128,5,7.496,산사태,538,철수경로당,표층유실과 포락이 진행중으로 취약지역으로 선정 및 관리가 필요함,2019-06-24,
106,진주시,명석면,계원리,산117-3임,,35,15,45,128,2,31,토석류,141,갈전마을회관,"계류부의 침식이 발달 하였으며, 배수시설이 미비하여 취약지역으로의 선정을 제안함.",2020-06-26,
107,진주시,집현면,봉강리,산179임,,35,15,6,128,3,47,토석류,385,추동마을회관,계류 내 전석 및 퇴적물 분포비율이 높음.,2020-06-26,
108,진주시,지수면,압사리,산38임,,35,14,35,128,15,5,토석류,380,송정마을회관,"계류 폭과 우수관로의 직경이 협소하고, 대상지 인근에서 월류흔적이 관찰되는 지역으로 취약지역으로의 선정을 제안함.",2020-06-26,
109,진주시,명석면,용산리,산482구,,35,13,46.331,128,1,59.693,토석류,181,조비마을회관,"계류 내 전석 분포 비율이 높고, 침식이 발달하였음.",2020-06-26,
110,진주시,명석면,용산리,산473구,,35,13,58,128,1,51,토석류,316,조비마을회관,"계곡부의 침식이 심하고, 직하부에 인가가 인접하여 있어 직접적인 피해가 우려됨.",2020-06-26,
111,진주시,명석면,관지리,산94-1임,,35,13,54,128,2,56,토석류,554,삭평리마을회관,"계류부와 작업로가 접한 구간에서 일부 유실이 확인되었으며, 월류 흔적이 관찰됨.",2020-06-26,
112,진주시,이반성면,용암리,산138구,,35,9,43,128,20,11,토석류,410,용암경로당,계류 내 퇴적물과 유목 등의 다수 분포하고 있음.,2016-06-01,
113,진주시,이반성면,하곡리,1010구,,35,10,5,128,21,10,토석류,428,서촌경로당,"계류부의 유목, 퇴적물 등의 적치물이 다수 존재함.",2020-06-26,
114,진주시,명석면,용산리,산 389임,,35,13,30.424,128,0,45.525,산사태,98,용산경로당,산 389 필지의 사면 경사가 급하며 토사유실이 진행중이므로 집중호우 시 인가의 피해가 우려됨.,2021-05-25,
115,진주시,집현면,대암리,산143임,,35,15,38.616,128,4,25.309,산사태,1075,대암교회관사,"산143번지는 사면과 인가의 거리가 가까워 토사 유출,세굴 등의 잠재 위험성으로 인한 피해를 받을 위험성이 있음",2021-05-25,
116,진주시,미천면,미곡리,산180,,35,19,1.499,128,6,27.1,토석류,29,미천초등학교,곡류지점이 다수 많아 침식과 세굴에 의한 토석류가 발생하는 지역임. 또한 계상의 균열과 퇴적물이 다수 생성되어 누구침식에서 구곡침식으로 발달되는 과정으로 판단 되는 지역으로 계류보전 사업이 필요할것으로 판단됨.,2015-07-28,
117,진주시,집현면,정수리,산17-9임,,35,17,51.699,128,4,58.4,토석류,225,대암보건진료소,대체적으로 안정적으로 사료되나 중간부  이후 수개의 지류가 합류하는 계류로 계상내  전구간에 걸쳐 바닥부 기반암 노출 및 양안 퇴적 암반사면의 층리면에서 붕락된 소규모 전석이 다수 분포하고 있으며 세굴과 침식이 진쟁중으로 계류보전사업이 필요 할것으로 사료됨.,2015-07-28,
118,진주시,명석면,남성리,산99임,,35,17,20.999,128,3,20.2,토석류,505,정평리마을회관,"전반적으로 계류 양안에 붕괴지가 다수 나타나고 있으며 세굴이 발생하여 식생의 뿌리가 노출이 많이 나고 있으며, 좌측으로는 암반층으로 붕락이 진행되고 있으며 우측으로 경작지의 기슭막이 형식으로 되어있으나 토석류가 계류에 유입되고 있으므로 직하부 집중호우 시 산사타발생으로 직하부 인가 및 재산 피해를 막기 위한 계류보전사업이 필요할것으로 사료됨.",2015-07-28,
119,진주시,집현면,정평리,산115임,,35,17,15.899,128,3,47.4,토석류,1020,집협대암보건진료소,"유출구 지점으로는 비교적 안정적으로 사료되나, 상부로 올라갈 수 록 전석 및 퇴적물들이 다수 분포하고 있어 집중호우 시 및 호우로 인한 침식으로 이동 흔적이 관찰됨.",2015-07-28,
120,진주시,미천면,벌당리,산19-2임,,35,17,11.399,128,7,28.3,토석류,1429,미천면보건지소,계류 내 퇴적물의 비율이 높고 토석류나 산사태 발생 시 계류의 통수능 감소로 인해 하부에 위치한 인가 등에 피해가 우려됨. 또한 계류수가 상시 흐르는 등 붕괴 가능성 및 위험요소가 산재되어 있는 것으로 판단이 되며 산사태 및 토석류 발생 시 하류부에 위치한 인가 및 시설물에 피해가 있을 것으로 보임.,2015-07-28,
121,진주시,명석면,외율리,산343임,,35,17,4.599,127,59,17.2,토석류,4086,토현경로당,본 계류는 누구침식이 진행중에 있으며 토사 유실로 인해 수목의 뿌리분 노출과 수목전도 현상이 발생하는 지역으로 산사태 발생시 인가 및 재산피해를 막기 위한 계류보전사업이 필요할 것으로 사료됨.,2015-07-28,
122,진주시,명석면,신기리,산310구,,35,17,2.199,128,1,28.9,토석류,1301,동전진료소,"계류 내 침식 및 퇴적물이 관찰되며, 계류수가 상시 흐르며 양안 사면의 세굴 및 토사 슬라이딩이 진행 중으로 집중 호우 시 하류부에 위치한 인가 및 시설물에 퇴적물로 인한 피해가 있을 것으로 판단되어 취약지역으로 선정함",2015-07-28,
123,진주시,집현면,냉정리,산302임,,35,15,9.599,128,6,1.3,토석류,295,냉정노인회관,계류수가 상시 흐르고 있으며 유량이 많고 계류의 폭이 넓으며 자갈 및 모래 등의 퇴적물들이 집중적으로 쌓여있는 구간이 넓게 분포되어 있음. 장마철이나 집중호우 시 유량이 증가하며 하부에 위치한 인가로의 인명 및 재산의 피해발생이 우려되는 지역으로 이를 막아줄 계류보전의 설치가 필요하다고 판단됨.,2015-07-28,
124,진주시,명석면,왕지리,산138-3임,,35,14,36.999,128,3,20.7,토석류,177,왕지마을회관,"계류 내 침식 및 퇴적물이 관찰되며, 계류수가 상시 흐르며 양안 사면의 세굴 및 토사 슬라이딩이 진행 중으로 집중 호우 시 하류부에 위치한 인가 및 시설물에 퇴적물로 인한 피해가 있을 것으로 판단되어 취약지역으로 선정함",2015-07-28,
125,진주시,대곡면,덕곡리,산18임,,35,14,9.099,128,11,52.709,토석류,700,진주남강요양원,"계류 양안은 급경사를 이루고 있으며 강우 시 빗물에 의한 사면에서의 침식 및 계상에서의 세굴현상이 관찰되고 있음. 또한 계류수가 항시 존재하고, 강우 시 유량이 많을 것으로 판단이 되며 계류 내에 전석, 자갈, 모래 등의 퇴적물 분포비율이 높고, 계류수와 함께 퇴적물의 이동흔적이 관찰되어 토석류의 발생가능성이 높은 것으로 판단됨.",2015-07-28,
126,진주시,명석면,용산리,1005구,,35,13,51.299,128,1,52.9,토석류,5369,비실경로당,최단부 부터 관찰되는 계류 양안 다수의 붕괴지와 계상내 토사의 슬라이딩 및 토석류의 발생으로 인한 계류로 유입되고 있으며 유량이 많은것으로 보여짐에 따라 수목의 뿌리분 노출과 수목전도 현상이 다수 보여짐에 따라 집중호우 시 산사태발생요소가 많이 있는 것으로 사료되어 계류보전사업을 통한 안전을 확보하는 것이 좋을 것으로 사료됨.,2015-07-28,
127,진주시,수곡면,효자리,산66,,35,11,42.199,127,57,15.3,토석류,1969,중천마을회관,유출구 하부 방향으로 인가들이 다수 분포하고 있으며 계류상부 위험사면에 수목전도현상이 관찰이 됨. 유출구 하부에 위치한 인가에서 인명 및 재산의 피해발생을 예방하기 위한 계류보전이 필요하다고 판단됨.,2015-07-28,
128,진주시,진성면,동산리,산199구,,35,11,23.399,128,12,30.3,토석류,879,진성노인복지회관,최단부 사찰이 인접하고 전구간 바닥부 기반암이 노출되어 계류로 계상내 양안 사면으로부터 붕락된 소규모 전석 및 유목등 유송잡물이 많으며 좌안사면은 붕괴 세굴이 진행중으로 계류보전 사업이 필요함.,2015-07-28,
129,진주시,이반성면,하곡리,1009구,,35,10,6.299,128,21,19.4,토석류,1383,동촌마을회관,유출구 하부에 인가가 다수 분포하고 있으며 집중호우 시 위험사면의 붕괴로 인하여 산사태 및 토석류가 발생할 가능성이 있음. 측방침식이 발생으로 강우 시 빗물에 의한 사면에서의 퇴적물 발생과 계상에서의 세굴현상이 관찰되고 있음,2015-07-28,
130,진주시,이반성면,발산리,산217구,,35,8,52.799,128,21,20.1,토석류,433,발산경로당,유출구와 최상부에 전석 및 암석의 분포비율이 다소 높게 나타나며 계류 내 퇴적물들이 집중적으로 쌓여있는 구간들이 곳곳에 있으며 계류가 합류되어 집중호우 시 유량이 많을 것으로 생각됨. 또한 계류 양안으로 침식이 발달하였으며 사면으로부터 퇴적물들이 유입되고 있어 하부 인가로의 피해발생이 우려됨.,2015-07-28,
131,진주시,사봉면,봉곡리,산41임,,35,12,24.399,128,17,9.7,토석류,3307,거곡마을회관,계류수가 상시 흐르고 있으며 유량이 많고 계류의 폭이 좁으며 자갈 및 모래 등의 퇴적물들이 집중적으로 쌓여있는 구간이 넓게 분포되어 있음. 장마철이나 집중호우 시 유량이 증가하며 하부에 위치한 인가로의 인명 및 재산의 피해발생이 우려되는 지역으로 이를 막아줄 계류보전의 설치가 필요하다고 판단됨.,2015-07-28,
132,진주시,명석면,남성리,산81,,35,17,23.099,128,3,21.5,산사태,3590,장흥마을회관,"민원 요청지로 마을 상부 사면으로 붕락이 진행중이며, 산지사면으로 연장 약 300m구간내 붕적층 형성하고 있어 매년 우기시 또는 태풍시 위험으로 인해 주민들 불편호소하고있으며, 위험사면부로 토사 및 토석류가 인가로 유입되어 피해발생하는 지역으로 산지사방이 시급할것으로 사료됨.",2015-07-28,
133,진주시,명석면,남성리,738,,35,17,43.299,128,3,0.5,토석류,5581,정평리마을회관,계류의 전 구간에 걸쳐 인공계류로 대체적으로 안정적으로 사료되나 공장부지 조성으로 계류의 기슭막이를 시공하였으나 석축 이탈 및 부실공사로 인한 위험성이 더 다수 존재하여 재시공으로 안전을 확보하는것이 좋을 것으로 사료됨.,2015-07-28,
134,진주시,집현면,정평리,산146,,35,16,37.426,128,3,48.35,산사태,270,정평리마을회관,붕괴가 진행중인 사면으로 붕괴된 토사가 이미 인가 건물까지 흘러내렸으며 추가적인 붕괴가 예상되는 바 시급한 조치가 필요할 것으로 판단됨.,2015-07-28,
135,진주시,미천면,향양리,산111임,,35,17,30.378,128,6,38.272,토석류,309,개심마을회관,계류의 폭이 좁고 내부가 퇴적물 및 유송잡물로 계류의 통수능을 방해하여 월류의 가능성이 높으며 이에 대한 예방책으로 계류보전사업을 통한 안정화가 필요하다고 판단됨.,2016-06-01,
136,진주시,대곡면,유곡리,산129임,,35,16,53.598,128,9,2.94,토석류,2233,부근인가,인가와 연접한 계류로 기반암이 노출되어 있으며 노출된 기반암은 풍화가 심하여 균열 및 낙석이 발생 중이고 기반암 상부 토사층은 지속적으로 계류로 유입되고 있어 향후 토석류 발생 잠재적 위험이 있어 이를 사전에 예방하기 위한 계류보전 사업의 검토가 필요할 것으로 사료됨,2016-06-01,
137,진주시,대곡면,대곡리,산4-1임,,35,15,39.598,128,12,30.34,토석류,3264,산방마을회관,"좌측 구릉성 산지와 우측 묘지 사이의 계류로 급경사를 보이며 계류 내 세굴이 관찰되며, 유송잡물 등 퇴적물이 다수 적치되어 있어 집중호우 시 일시에 퇴적물 이동이 용이하여 사전에 이를 차단하기 위한 계류보전 사업의 검토가 필요할 것으로 사료됨",2016-06-01,
